Genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
1398752_at	0.0434969599450392	6.4782580965961	4.49938570566984	5.02351085614293e-05	0.00605980025472453	1.29137636359917
1389627_at	0.0342219025190049	6.22027376294615	4.49098058348368	5.1606386027433e-05	0.0061784096595099	1.42225350604202
1398376_at	0.0432151401020873	6.10502549018264	4.483461667538	5.28641203943507e-05	0.00625041860876331	1.467753940121
1390177_at	-0.0471147316990734	5.84437588665502	-4.48270151264799	5.29929355135996e-05	0.00625041860876331	1.56799756373889
1371430_at	0.0518460824831797	6.17044550769494	4.47321011135175	5.46274644064537e-05	0.00631675541070932	1.42157088014555
1398855_at	0.0285287517834387	6.63010816215572	4.4719562528237	5.48470533960036e-05	0.00631675541070932	1.09224001781705
1385839_x_at	0.0741417729959863	5.83930021006444	4.4711181246541	5.49943172293951e-05	0.00631675541070932	1.54318950196819
1388307_at	0.0543230954631664	6.46622786682644	4.46988796621283	5.5211164717505e-05	0.00631675541070932	1.21569048549782
1371334_at	0.036271461104306	6.71923470820192	4.46401489254536	5.6258046329606e-05	0.00631675541070932	0.988191617322339
1367601_at	0.0717071353743401	6.04658475090883	4.46398704802186	5.62630556623601e-05	0.00631675541070932	1.44209149215268
1377254_a_at	0.0592101604065842	6.05819099451112	4.46360238059248	5.63323034805454e-05	0.00631675541070932	1.45937580163836
1371388_at	0.0323923365352554	6.51370256797909	4.45521955832985	5.786228066763e-05	0.00644294472077394	1.12451799353862
1385112_at	-0.0584870287725021	5.71142696771022	-4.44550244797375	5.96867520281931e-05	0.00655616961901332	1.46622522695504
1372772_at	-0.0366958810605169	6.42698007774264	-4.44541929134295	5.97026059635076e-05	0.00655616961901332	1.1690989543109
1369421_at	-0.0622234454587085	5.80007135713624	-4.44165477641528	6.04246510694217e-05	0.00659001177382467	1.45324224112374
1370886_a_at	0.0306743699031529	6.63972390868534	4.4369176989236	6.13453942500861e-05	0.00661036310268981	0.977329419452915
1388104_at	-0.0424987655902331	6.0694262524434	-4.43642703309997	6.14415461406828e-05	0.00661036310268981	1.33683508153927
1372721_at	0.068554373131172	6.15087219164317	4.41956168048077	6.48377147523177e-05	0.0068426874001055	1.26786413038125
1368287_at	0.0209511439783379	6.69737240383208	4.41827592421425	6.51040366948136e-05	0.0068426874001055	0.853922816315444
1373983_at	0.03243071355047	6.33557076650439	4.4177013954729	6.52233860870415e-05	0.0068426874001055	1.12411621163131
1398986_at	0.03216070008824	6.5439620410685	4.41723763031117	6.53198822342546e-05	0.0068426874001055	0.994057755239472
1369410_at	0.0709100926213013	6.19012851938908	4.41456573015672	6.58785548865688e-05	0.00685610607489435	1.16633683058093
1369042_at	-0.0446190938191018	6.03235253747742	-4.41240054515498	6.63347051524988e-05	0.00685875006586518	1.27431096184148
1369552_at	-0.0495955242397539	5.78604910385975	-4.40432763064934	6.8062871775045e-05	0.00699203295015511	1.33500886760804
1368940_at	-0.0474768741356808	5.65629776228601	-4.39671640796165	6.97325079858116e-05	0.00711246641548127	1.31249946340081
1390580_at	-0.0498741943196599	5.94559448430471	-4.39493708609102	7.01285704471871e-05	0.00711246641548127	1.25276214629694
1376276_at	-0.0426938975125184	6.12774307718723	-4.39126338005896	7.09532821627029e-05	0.00715056399921973	1.14935054115364
1375313_at	-0.0571571834551632	5.69396304300079	-4.38208559256988	7.30552850449611e-05	0.00731609625013155	1.27261618231131
1399005_at	0.0313326226137951	6.37211560100391	4.37830683184847	7.39383330652838e-05	0.00735551556735171	0.985937682509411
1387105_at	-0.0291861218490288	6.23680474196243	-4.37614860755591	7.44473571635047e-05	0.00735551556735171	1.03713446925622
1374441_at	-0.0353721242589904	6.08088826390653	-4.37295199080058	7.52075920653541e-05	0.00735551556735171	1.12744500158938
1375602_at	-0.0470738734672134	5.87247626275434	-4.37257946596027	7.52966801154511e-05	0.00735551556735171	1.2246352066283
1390418_at	0.0414604578780828	6.37105510103205	4.36172959530036	7.79371416225339e-05	0.00756703113448541	0.946610350156868
1377149_at	-0.0492083274367836	6.00028405820357	-4.35816457290978	7.88243366264707e-05	0.0075859510470323	1.14877853468437
1367457_at	0.0296649677200556	6.49782605361498	4.35545413705458	7.95054577704609e-05	0.0075859510470323	0.839428805715278
1374568_at	0.0389864227359711	6.35164047273237	4.35523311552181	7.95612525814479e-05	0.0075859510470323	0.895587632188992
1389153_at	-0.0482113131656039	6.21062142892122	-4.35048139670329	8.07700786766944e-05	0.00765087745610429	1.02027941057656
1370378_at	0.0209051297279501	6.71702018219635	4.34879582346993	8.12031834504569e-05	0.00765087745610429	0.624996984750464
1386950_at	0.0700877054255624	6.19164738837682	4.32761260441806	8.68435146285961e-05	0.00813417225547727	0.960839503578115
1375651_at	0.0204852671508213	6.91775576423905	4.31915473534926	8.92009316480833e-05	0.00830611950077445	0.323098247104565
1374124_at	-0.0397197563156944	6.12705277516941	-4.31382537948623	9.07183390960605e-05	0.00836164999896614	0.904492471499074
1371704_at	0.0246820957520075	6.41727012041072	4.31176903853766	9.13105497901019e-05	0.00836164999896614	0.740949795368644
1372115_at	0.0320984182786663	6.27941550556831	4.3115540767225	9.13726747359234e-05	0.00836164999896614	0.832958589430757
1376953_at	-0.0323036890854373	6.29396518335132	-4.30537423741703	9.3176435720334e-05	0.00844759914678607	0.792064962148705
1376135_at	-0.0445512774712453	6.06544240172636	-4.30194058518634	9.4193624679783e-05	0.00844759914678607	0.929133011066415
1372865_at	0.0444626185296215	6.14145839699732	4.30053976818948	9.4611711582317e-05	0.00844759914678607	0.91229990810739
1398767_at	0.0510808055438012	6.51713390417197	4.30050252835251	9.46228508506829e-05	0.00844759914678607	0.651659881613883
1377616_at	0.0376704690448388	6.24135027807268	4.29936232335167	9.49645322662003e-05	0.00844759914678607	0.833517186977883
1367550_a_at	0.0484853304885897	6.13795007737491	4.29758026678339	9.5500969571381e-05	0.00844812188047278	0.905118898166833
1374066_at	0.0407586896176459	6.30961048845008	4.28850588350711	9.82787787311018e-05	0.0086458176449466	0.726312626067349
1369968_at	0.0716168759214861	6.37191145772162	4.28559162678592	9.91874978667169e-05	0.00865698657307295	0.73887880404748
1399035_at	-0.0398181324672544	6.22929597980949	-4.28461743441165	9.94930944465459e-05	0.00865698657307295	0.763236880801178
1368277_at	0.0284888536528971	6.78532142042809	4.26636212730204	0.000105392584295037	0.0091204680420102	0.316370213427724
1370068_at	-0.0506592968321193	5.86285353038075	-4.2628588055692	0.000106563151094047	0.00917191921551625	0.889236267166836
1389577_at	-0.0337236671222536	6.24066409350982	-4.25787713091262	0.000108249553357036	0.0092189883868085	0.678063272542853
1376363_at	-0.0331760152713025	6.28925170553884	-4.2578231574316	0.000108267966358927	0.0092189883868085	0.679110989880188
1388850_at	0.0304414191515239	6.72148509920594	4.25446341508715	0.000109420174648691	0.00926753957942075	0.35929418026637
1372392_at	0.0392153997181124	6.45806002257993	4.25209538508527	0.000110239458275353	0.00928752854030923	0.511628892177326
1390567_at	-0.0546261274698692	5.47156598295328	-4.24652713243734	0.000112189597026985	0.00935867358514601	0.818792251445063
1373301_at	0.0296157858861816	6.37966214137105	4.24632953745587	0.00011225941435426	0.00935867358514601	0.553667778493553
1375544_at	-0.0553259765633918	5.80696836209884	-4.24400875462224	0.00011308260822462	0.00937484151530217	0.845616990241385
1374281_at	0.0290242077390923	6.13189453529766	4.24102643768069	0.000114149100722788	0.00937484151530217	0.711783780821547
1372425_at	-0.0459742430822656	5.53872294652594	-4.24083015541144	0.000114219635368248	0.00937484151530217	0.806179078155608
1371659_at	0.0373513515230375	6.20010223397925	4.23876458738872	0.000114964485976925	0.00938758723184914	0.674611528554862
1371688_at	-0.0265620887804383	6.39127419173213	-4.2358409975313	0.000116026845688525	0.00942599726478765	0.517857955737277
1379737_a_at	0.0381970210382807	6.12760887930812	4.23406518643793	0.000116676798681093	0.00943068358070583	0.684070427197515
1373856_at	-0.0375875688098208	5.71206020782351	-4.23068054810599	0.000117925435342527	0.0094834682169649	0.814836857205236
1375471_at	-0.0534733000021719	5.81685718124073	-4.22549312120586	0.000119864472272308	0.00958478022228255	0.78592490393164
1388638_at	-0.0312890258649867	6.21299093285768	-4.22410360159046	0.000120389125444735	0.00958478022228255	0.595576869895933
1375534_at	0.0551901341078906	6.23722351051319	4.21118831278756	0.00012537401144432	0.00993199196133284	0.576261257055676
1367954_at	0.039217563596555	6.0834396554958	4.20937520114731	0.000126089726154453	0.00993924113642259	0.651701205855412
1393045_at	-0.0537191495648726	6.29817974034784	-4.20684644020197	0.00012709459341248	0.0099690995611178	0.535732587300774
1373733_at	-0.0270732785382926	6.50501590937562	-4.20341064929102	0.000128472407856389	0.00998288903991228	0.37819411380779
1375737_at	-0.0453574851405874	5.75164003638458	-4.20328197852361	0.000128524288964518	0.00998288903991228	0.730498295621436
1375316_at	-0.0456150538924591	5.8261189626769	-4.19803517829284	0.000130657322121469	0.0100506521274962	0.699986454282861
1388382_at	0.0328899072715148	6.37810459007251	4.19803081838921	0.000130659108860876	0.0100506521274962	0.430054664622363
1398779_at	0.0243998651434527	6.48138394490731	4.18919574241394	0.000134329167030306	0.0102477800673836	0.340125143472653
1388997_at	0.0184255136273554	6.78372764018057	4.18876900660698	0.000134508951459095	0.0102477800673836	0.0674571551781629
1370615_at	-0.0642340995206219	5.58883819136785	-4.18194813563729	0.000137414615890158	0.0103960177396771	0.655686266833179
1390106_at	-0.0429036989493072	5.96643498837764	-4.18114567245267	0.000137760456137151	0.0103960177396771	0.602610008839291
1376886_at	-0.0426554118590516	6.06455742175299	-4.17622645384833	0.000139899112734214	0.0104963578095266	0.548128212539527
1372486_at	-0.0424110239335329	6.34141684281222	-4.17402892975937	0.000140864916304047	0.0104963578095266	0.386635303034246
1378350_at	0.0740329262093811	5.63691594695818	4.1725744765222	0.00014150771132127	0.0104963578095266	0.639282399823201
1367789_at	0.0270749229893417	6.46031213379779	4.17208005960742	0.000141726868620752	0.0104963578095266	0.285706788000645
1370235_at	0.0412477712721184	6.50867624907041	4.1682705578488	0.000143426606394034	0.0105095719376434	0.250520029338991
1372558_at	-0.0444907391919207	6.17341316320461	-4.16598256901802	0.000144456995017287	0.0105095719376434	0.479016722250453
